Severity,2024_Avg_Hours,2024_Median_Hours,2024_Count,2025_Avg_Hours,2025_Median_Hours,2025_Count
Blocker,872.7018543813131,4.428144166666667,44,45.010197690058476,6.618532500000001,38
Critical,1182.2963528395067,9.241976666666668,117,429.23385189583325,6.075053333333333,40
Major,683.1282504127622,4.359317777777778,249,338.60643792901243,2.113856388888889,180
Minor,346.9121248143402,1.4363061111111113,585,150.11667361919623,0.7714313888888888,481
