Severity,2024_Avg_Days,2024_Median_Days,2024_Count,2025_Avg_Days,2025_Median_Days,2025_Count
Blocker,43.081404519675914,13.7867796875,34,25.885835519290126,9.715994236111111,30
Critical,73.7393316471105,40.02049122685185,87,51.33200482467422,26.98626357638889,27
Major,41.192180827382806,17.86688703703704,177,47.652929366248884,22.240284456018518,123
Minor,41.87359932269465,13.947565150462962,391,40.905595282852836,15.208126620370368,317
